"","k","r","s","Chimera"
"1",19.4059735783291,0.0499390899641209,2.78523081936784,"Chimera 1"
"2",19.5516340323375,0.048788688896949,2.90494823137431,"Chimera 1"
"3",19.9129401955159,0.0488885054143271,2.75141932886904,"Chimera 1"
"4",20.0134902389957,0.049001679334269,2.78747604411871,"Chimera 1"
"5",20.3559046695569,0.0485237475660242,2.76872176269186,"Chimera 1"
"6",20.5675732842157,0.0465540711513175,2.92286899207213,"Chimera 1"
"7",20.6333702703209,0.0459544804732526,2.87349545617213,"Chimera 1"
"8",20.381545563179,0.0461270617851453,3.0456333060816,"Chimera 1"
"9",20.243634097284,0.0450701313529359,3.1128437159586,"Chimera 1"
"10",20.3290740624876,0.0451285639922365,3.2048531804114,"Chimera 1"
"11",20.3827356344186,0.0448746919311823,3.25705009932704,"Chimera 1"
"12",20.580727504083,0.0453308222552857,3.07720729844011,"Chimera 1"
"13",20.248073492052,0.0454862016771132,3.36735114389835,"Chimera 1"
"14",20.3768092304173,0.0454970205399652,3.36619725852666,"Chimera 1"
"15",20.3072235144721,0.044604501272413,3.49122049605409,"Chimera 1"
"16",19.9332497454963,0.0438237941398159,3.60553877990363,"Chimera 1"
"17",20.2148546582115,0.0428137988323085,3.64844153761706,"Chimera 1"
"18",20.5678794021536,0.0434725902831041,3.29764708331753,"Chimera 1"
"19",20.5446896769867,0.041888592113774,3.29077738164155,"Chimera 1"
"20",20.1284695553209,0.0420186591015561,3.30464618581684,"Chimera 1"
"21",20.6699697040916,0.0419171315041063,3.33259421495051,"Chimera 1"
"22",20.6697453759263,0.041202214592057,3.56195488061503,"Chimera 1"
"23",20.7957186099065,0.0408214764241858,3.60343343124592,"Chimera 1"
"24",20.7868191959817,0.0413829916394829,3.56607046785634,"Chimera 1"
"25",20.5272419258791,0.041262944569948,3.62103226782491,"Chimera 1"
"26",20.5128507471765,0.0412752267790201,3.49540739418372,"Chimera 1"
"27",20.5764290350494,0.0413588769208936,3.42650083280443,"Chimera 1"
"28",20.2405957330461,0.0416794218326772,3.42138906315302,"Chimera 1"
"29",20.1296529146871,0.0418904292445243,3.47767968315779,"Chimera 1"
"30",20.1685729078694,0.0419027754941198,3.44364265544391,"Chimera 1"
"31",20.1776915812884,0.0422955394613499,3.35331222942886,"Chimera 1"
"32",20.1590855743327,0.0430447161125498,3.41455495870233,"Chimera 1"
"33",20.2966847470332,0.0429476691592784,3.36920692431842,"Chimera 1"
"34",20.1385709542009,0.0426050417668869,3.21133033761102,"Chimera 1"
"35",20.4448807195452,0.0428929795321286,3.2057000982817,"Chimera 1"
"36",20.1886641011051,0.0430674480867084,3.20490014291866,"Chimera 1"
"37",20.0506760190804,0.0441415545601215,3.16781379834226,"Chimera 1"
"38",19.9388953806405,0.0442838936790212,3.06563099168651,"Chimera 1"
"39",20.1245367691244,0.0443981370303549,3.13381903474582,"Chimera 1"
